depth_m,Al_pct,Si_pct,Fe_pct,Ca_pct,Ti_pct
0.020,3.783,10.66,2.103,19.34,0.2327
0.060,3.81,10.52,2.078,19.46,0.2259
0.100,3.583,9.861,1.945,20.75,0.2022
0.140,3.3,8.572,1.648,23.22,0.167
0.180,2.821,7.875,1.386,24.2,0.1435
0.220,2.654,7.109,1.379,25.85,0.1332
0.260,2.992,8.387,1.613,24.0,0.1672
0.300,3.568,10.16,1.692,20.94,0.1713
0.340,4.141,12.59,1.94,16.9,0.231
0.380,4.146,14.27,1.836,14.8,0.2363
0.420,2.791,17.92,1.143,10.86,0.2508
0.460,2.698,12.84,1.231,17.29,0.2142
0.500,3.271,10.83,1.617,20.69,0.174
0.540,3.248,11.3,1.616,19.57,0.213
0.580,3.442,12.06,1.786,18.4,0.1906
0.620,3.414,11.82,1.735,19.08,0.1999
0.660,3.147,11.02,1.719,19.99,0.1872
0.700,2.873,9.455,1.47,22.95,0.1559
0.740,3.007,10.49,1.6,21.31,0.16
0.780,2.91,10.27,1.571,21.08,0.1644
0.820,2.958,10.36,1.581,21.24,0.1698
0.860,3.059,10.96,1.646,20.2,0.1651
0.900,3.564,13.53,1.826,16.41,0.1871
0.940,3.793,14.23,1.818,16.17,0.2135
0.980,3.875,14.09,1.921,15.56,0.2156
1.020,3.86,13.91,1.933,15.48,0.2157
1.060,3.707,13.24,2.076,13.94,0.2117
1.100,3.651,12.65,2.183,11.76,0.2138
1.140,3.816,13.09,2.088,11.88,0.2199
1.180,3.459,12.81,1.978,12.2,0.1999
1.220,3.002,11.23,1.788,11.83,0.1803
1.260,2.792,10.53,1.715,10.59,0.1469
1.300,2.894,11.27,1.806,11.65,0.1776
1.340,3.179,12.4,1.848,11.87,0.1811
1.380,3.441,13.13,1.907,11.37,0.1998
1.420,3.159,11.59,1.832,8.841,0.1792
1.460,3.283,13.57,1.827,7.251,0.1857
1.500,3.007,10.89,1.943,8.147,0.1852
1.540,3.176,11.43,2.023,8.192,0.2018
1.580,3.51,12.99,2.028,10.24,0.1956
1.620,3.482,12.65,2.097,10.12,0.2056
1.660,3.314,12.7,1.964,10.33,0.1982
1.700,3.381,12.92,1.906,11.11,0.1952
1.740,3.849,14.01,1.979,11.96,0.2091
1.780,3.273,12.42,1.853,11.44,0.2017
1.820,2.976,10.73,1.776,10.98,0.1737
1.860,3.372,12.02,1.899,12.3,0.1901
1.900,3.018,11.24,1.8,12.24,0.1754
1.940,3.171,11.72,1.864,13.13,0.1858
1.980,3.894,13.71,1.989,15.11,0.2118
2.020,3.623,13.1,1.987,12.63,0.1979
2.060,3.566,13.15,2.005,12.63,0.1984
2.100,3.644,13.37,1.998,12.9,0.2191
2.140,4.147,14.25,2.04,13.15,0.2272
2.180,3.183,10.96,1.979,12.31,0.1828
2.220,3.43,11.43,1.971,13.36,0.2238
2.260,3.393,11.52,2.06,14.26,0.1818
2.300,3.292,11.57,1.857,12.42,0.2095
2.340,3.486,12.13,1.995,13.5,0.1944
2.380,4.05,13.71,2.253,15.44,0.2171
2.420,4.047,13.78,2.186,15.09,0.2309
2.460,3.997,13.72,2.218,14.55,0.2215
2.500,3.959,13.83,2.32,14.05,0.2226
2.540,4.319,14.98,2.216,12.97,0.2436
2.580,4.2,14.39,2.137,14.04,0.2626
2.620,3.708,12.36,2.083,16.55,0.2161
2.660,3.557,11.9,2.016,16.8,0.2024
2.700,3.789,12.87,2.022,15.82,0.2185
2.740,3.826,13.36,2.068,15.48,0.2272
2.780,3.591,12.36,1.971,16.27,0.2067
2.820,3.674,13.18,1.889,16.09,0.2343
2.860,3.597,12.29,1.801,17.39,0.2261
2.900,3.412,11.87,1.735,17.93,0.1833
2.940,3.374,11.83,1.84,17.69,0.1952
2.980,3.496,11.84,1.872,18.05,0.2042
3.020,3.628,12.05,1.902,17.64,0.1973
3.060,3.447,12.11,1.912,17.34,0.1961
3.100,3.728,12.88,1.971,16.69,0.2419
3.140,3.574,12.16,1.947,17.06,0.2019
3.180,3.603,12.33,2.095,16.71,0.2157
3.220,3.727,12.83,2.206,16.14,0.2151
3.260,3.903,12.72,2.123,16.46,0.2152
3.300,4.026,13.61,2.129,15.97,0.2228
3.340,4.164,13.87,2.081,15.99,0.2316
3.380,4.547,15.57,2.158,13.63,0.2659
3.420,4.355,14.25,2.317,14.79,0.2413
3.460,4.32,14.24,2.041,15.19,0.2449
3.500,4.12,13.17,2.03,16.35,0.2243
3.540,3.677,11.01,2.031,18.74,0.1963
3.580,3.604,10.26,1.956,19.55,0.1897
3.620,3.493,9.853,1.901,20.6,0.1902
3.660,3.512,9.684,1.917,20.82,0.1875
3.700,3.369,10.27,2.051,19.42,0.182
3.740,4.167,15.07,2.074,13.9,0.2362
3.780,4.26,13.92,2.248,14.49,0.238
3.820,3.57,10.41,1.987,19.18,0.1809
3.860,4.396,13.95,2.139,14.65,0.2817
3.900,4.343,13.29,2.268,16.29,0.2279
3.940,4.571,13.79,2.222,15.03,0.2804
3.980,3.857,11.06,2.138,18.94,0.2001
4.020,3.589,10.3,2.149,19.33,0.186
4.060,3.662,10.59,2.116,19.48,0.1808
4.100,3.701,10.58,2.161,19.72,0.1857
4.140,3.595,11.2,2.024,18.84,0.2037
