core,depth_m,top_m,bot_m,event,age_ka
GeoB8502-2,0.360,0.250,0.470,T1,10.1
GeoB8502-2,1.485,1.420,1.550,T2,24.0
GeoB8502-2,4.4125,4.375,4.450,T3,60.0
GeoB8502-2,7.245,7.220,7.270,T4,105.0
GeoB8502-2,8.950,8.920,8.980,T5,138.0
GeoB8502-2,10.070,10.050,10.090,T6,157.0
GeoB8502-2,10.420,10.340,10.500,T7,162.0
GeoB8502-2,10.9975,10.965,11.030,T8,172.0
GeoB8502-2,11.855,11.845,11.865,T9,188.0
GeoB8502-2,12.445,12.345,12.545,T10,243.0
GeoB8502-2,12.650,12.590,12.710,T11,243.0
GeoB8502-2,12.875,12.820,12.930,T12,245.0
GeoB8509-2,0.200,0.080,0.320,T1,0.5
GeoB8509-2,0.800,0.600,1.000,T2,1.7
GeoB8509-2,1.4075,1.290,1.525,T3,2.5
GeoB8509-2,2.790,2.690,2.890,T4,6.1
GeoB8509-2,3.100,3.060,3.140,T5,6.7
GeoB8509-2,3.875,3.660,4.090,T6,9.3
GeoB8509-2,4.485,4.380,4.590,T7,10.4
GeoB8509-2,5.350,5.170,5.530,T8,12.3
GeoB8509-2,5.695,5.575,5.815,T9,12.3
GeoB8509-2,6.015,5.980,6.050,T10,12.5
GeoB8509-2,6.380,6.340,6.420,T11,12.9
GeoB8509-2,6.795,6.490,7.100,T12,12.9
GeoB8509-2,7.1825,7.170,7.195,T13,13.0
GeoB8509-2,7.510,7.500,7.520,T14,13.4
GeoB8509-2,7.7875,7.770,7.805,T15,14.0
GeoB8509-2,8.3875,8.330,8.445,T16,14.3
GeoB8509-2,8.5575,8.550,8.565,T17,14.5
GeoB8509-2,8.700,8.685,8.715,T18,14.6
